asset_id,category,asset_name,expected_path_or_package,exists_or_available,asset_type,size_or_count,v3_role,immediately_usable,needed_for_minimum_v3,blocking_if_missing,notes
CORE-015,core_v2_asset,targeted manifold QC table,results/tables/discovery_targeted_manifold_audit_results_v1.csv,True,csv,45 rows; 57655 bytes,manifold QC reuse,True,True,False,Targeted v2 manifold audit output.
CORE-016,core_v2_asset,internal evidence scorecard,results/tables/discovery_internal_evidence_scorecard_v1_annotated.csv,True,csv,149 rows; 119339 bytes,evidence-level discipline reference,True,True,False,Annotated internal evidence table.
MOD-001,module_asset,module membership definitions,src/sea_ad_jepa/gene_sets.py,True,python_module,3666 bytes,module branch and module baselines,True,True,True,Contains MICROGLIA_GENE_MODULES definitions.
MOD-002,module_asset,module-mean baseline table,results/tables/discovery_baseline_predictive_representation_comparison.csv,True,csv,35 rows; 9330 bytes,module mean benchmark reference,True,True,True,Module mean was v2 best absolute predictor.
MOD-003,module_asset,WGCNA module eigengenes,results/tables/wgcna_module_eigengenes.csv,False,csv,missing,WGCNA module baseline,False,False,False,Not found; generate or defer.
MOD-004,module_asset,WGCNA/TOM adjacency table,results/tables/v2_graph_wgcna_edges.csv,True,csv,100000 rows; 3358645 bytes,typed WGCNA/TOM graph source,True,True,True,Available according to input availability report/path scan.
MOD-005,module_asset,module-to-gene mapping file,results/tables/module_to_gene_mapping.csv,False,csv,missing,module branch input,False,False,False,Can be generated from src/sea_ad_jepa/gene_sets.py.
MOD-006,module_asset,module summary feature table,data/processed/sea_ad_mtg_microglia_pvm_pseudobulk_expanded_modules.csv,True,csv,89 rows; 45190101 bytes,module feature reuse,True,True,False,Pseudobulk/module-preserved processed table.
GRAPH-001,graph_source_asset,STRING external links,data/external/string/9606.protein.links.v12.0.txt.gz,True,gz,83164437 bytes,STRING graph source,True,True,True,Raw STRING data available.
GRAPH-002,graph_source_asset,STRING external protein info,data/external/string/9606.protein.info.v12.0.txt.gz,True,gz,1970090 bytes,STRING graph source mapping,True,True,True,Raw STRING mapping available.
GRAPH-003,graph_source_asset,STRING graph build script,scripts/build_string_graph.py,True,python_script,7272 bytes,STRING graph regeneration,True,True,False,Reusable builder.
GRAPH-004,graph_source_asset,WGCNA/TOM graph file,results/tables/v2_graph_wgcna_edges.csv,True,csv,100000 rows; 3358645 bytes,WGCNA/TOM typed graph source,True,True,True,Available graph source.
GRAPH-005,graph_source_asset,WGCNA/TOM graph build script,scripts/build_wgcna_tom_graph.py,True,python_script,7108 bytes,WGCNA/TOM graph regeneration,True,True,False,Reusable builder.
GRAPH-006,graph_source_asset,pathway graph file,results/tables/pathway_graph_edges.csv,False,csv,missing,pathway typed graph source,False,False,False,Missing/deferred; Reactome/KEGG/GO source can be generated later.
GRAPH-007,graph_source_asset,Reactome/KEGG/GO membership files,data/external/pathways,False,directory,missing,pathway memberships,False,False,False,Missing/deferred.
GRAPH-008,graph_source_asset,coexpression graph file,results/tables/v2_graph_wgcna_edges.csv,True,csv,100000 rows; 3358645 bytes,coexpression source via WGCNA/TOM,True,True,False,WGCNA/TOM serves as current coexpression graph.
GRAPH-009,graph_source_asset,GRN / TF-target file,results/tables/grn_tf_target_edges.csv,False,csv,missing,causal-prior graph source,False,False,False,Missing/deferred.
GRAPH-010,graph_source_asset,edge source/type labels,results/tables/v2_graph_consensus_edges.csv,True,csv,114029 rows; 6391002 bytes,typed graph branch labels,True,True,True,"Columns include in_string, in_wgcna, support, string_score, wgcna_tom."
GRAPH-011,graph_source_asset,graph node-name mapping file,results/tables/ablation_edge_sets/no_graph_identity_edges_v1.csv,True,csv,2957 rows; 130488 bytes,canonical node map,True,True,True,One row per gene index.
PKG-001,benchmark_package,sklearn,sklearn,True,python_package,available,"PCA, TSNE, ridge, ElasticNet, tree baselines",True,True,True,Import availability in the current Python environment.
PKG-002,benchmark_package,umap,umap,False,python_package,missing,UMAP baseline,False,False,False,Import availability in the current Python environment.
PKG-003,benchmark_package,openTSNE,openTSNE,False,python_package,missing,alternative t-SNE baseline,False,False,False,Import availability in the current Python environment.
PKG-004,benchmark_package,phate,phate,False,python_package,missing,PHATE baseline,False,False,False,Import availability in the current Python environment.
PKG-005,benchmark_package,pydiffmap,pydiffmap,False,python_package,missing,diffusion maps baseline,False,False,False,Import availability in the current Python environment.
PKG-006,benchmark_package,torch,torch,False,python_package,missing,"MLP, autoencoder, Graph-JEPA",False,True,True,Import availability in the current Python environment.
PKG-007,benchmark_package,torch_geometric,torch_geometric,False,python_package,missing,graph-only GNN feasibility,False,False,False,Import availability in the current Python environment.
PKG-008,benchmark_package,scanpy,scanpy,False,python_package,missing,single-cell preprocessing and diffusion alternatives,False,False,False,Import availability in the current Python environment.
PKG-009,benchmark_package,scvi,scvi,False,python_package,missing,VAE/scVI-style latent,False,False,False,Import availability in the current Python environment.
PKG-010,benchmark_package,xgboost,xgboost,False,python_package,missing,tree/boosting baseline,False,False,False,Import availability in the current Python environment.
PKG-011,benchmark_package,lightgbm,lightgbm,False,python_package,missing,tree/boosting baseline,False,False,False,Import availability in the current Python environment.
PKG-012,benchmark_package,econml,econml,False,python_package,missing,observational causal effect estimation,False,False,False,Import availability in the current Python environment.
PKG-013,benchmark_package,dowhy,dowhy,False,python_package,missing,observational causal effect estimation and refutation,False,False,False,Import availability in the current Python environment.
PKG-014,benchmark_package,networkx,networkx,True,python_package,available,graph utilities and strict shuffles,True,True,True,Import availability in the current Python environment.
BASE-001,benchmark_baseline,PCA + ridge,benchmark_harness,True,baseline,missing,v3 benchmark suite,True,True,False,PCA and Ridge available through sklearn.
BASE-002,benchmark_baseline,t-SNE + ridge/kNN,benchmark_harness,True,baseline,missing,v3 benchmark suite,True,False,False,Runnable if fold-safe embedding harness is added.
BASE-003,benchmark_baseline,UMAP + ridge/kNN,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,True,True,Requires umap package and fold-safe harness.
BASE-004,benchmark_baseline,supervised UMAP if leakage-safe,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,False,False,Must be blocked until leakage-safe fit protocol is written.
BASE-005,benchmark_baseline,PHATE + ridge/kNN,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,False,False,Package-dependent; do not install here.
BASE-006,benchmark_baseline,diffusion maps + ridge/kNN,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,False,False,Requires pydiffmap or scanpy diffusion-map equivalent.
BASE-007,benchmark_baseline,raw expression ridge,benchmark_harness,True,baseline,missing,v3 benchmark suite,True,True,False,Already implemented in v2 baseline harness.
BASE-008,benchmark_baseline,raw expression ElasticNet,benchmark_harness,True,baseline,missing,v3 benchmark suite,True,True,False,Available through sklearn; needs locked harness extension.
BASE-009,benchmark_baseline,raw expression tree/boosting,benchmark_harness,True,baseline,missing,v3 benchmark suite,True,False,False,Can use sklearn tree ensemble immediately if boosting packages are absent.
BASE-010,benchmark_baseline,expression-only MLP,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,True,True,Requires a locked no-graph neural baseline.
BASE-011,benchmark_baseline,module-only MLP,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,False,False,Needs module feature extraction harness.
BASE-012,benchmark_baseline,autoencoder latent,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,True,True,Can be implemented without graph inputs.
BASE-013,benchmark_baseline,VAE/scVI-style latent,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,False,False,Future extension if scvi available/installed later.
BASE-014,benchmark_baseline,graph-only GNN,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,False,False,Requires torch_geometric and locked GNN baseline.
BASE-015,benchmark_baseline,v3 no-graph,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,True,True,Minimum v3 control.
BASE-016,benchmark_baseline,v3 strict shuffled,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,True,True,Minimum graph-specific control.
BASE-017,benchmark_baseline,v3 real graph,benchmark_harness,False,baseline,missing,v3 benchmark suite,False,True,True,Minimum real graph model.
CAUSAL-001,causal_inference_asset,donor metadata usable as environments,data\processed\metadata\sea_ad_mtg_donor_pathology_targets.csv,True,metadata_or_schema,84 rows; 21982 bytes,environment invariance / causal adjustment,True,True,False,Available columns: ['Donor ID']
CAUSAL-002,causal_inference_asset,batch labels,data\processed\metadata\sea_ad_mtg_donor_pathology_targets.csv,False,metadata_or_schema,84 rows; 21982 bytes,environment invariance / causal adjustment,False,False,False,"Missing expected columns among ['Batch', 'Specimen ID', 'batch', 'library_prep']"
CAUSAL-003,causal_inference_asset,sex,data\processed\metadata\sea_ad_mtg_donor_pathology_targets.csv,True,metadata_or_schema,84 rows; 21982 bytes,environment invariance / causal adjustment,True,True,False,Available columns: ['Sex']
CAUSAL-004,causal_inference_asset,diagnosis,data\processed\metadata\sea_ad_mtg_donor_pathology_targets.csv,True,metadata_or_schema,84 rows; 21982 bytes,environment invariance / causal adjustment,True,True,False,"Available columns: ['Cognitive Status', 'Overall AD neuropathological Change']"
CAUSAL-005,causal_inference_asset,pathology strata,data\processed\metadata\sea_ad_mtg_donor_pathology_targets.csv,True,metadata_or_schema,84 rows; 21982 bytes,environment invariance / causal adjustment,True,True,False,"Available columns: ['Braak', 'CERAD score', 'Overall AD neuropathological Change', 'Thal']"
CAUSAL-006,causal_inference_asset,cell-state cluster labels,data\processed\cell_state_cluster_labels.csv,False,metadata_or_schema,missing,environment invariance / causal adjustment,False,False,False,Dedicated table not found; may be derivable from H5AD obs in Stage 24.
CAUSAL-007,causal_inference_asset,microglia/PVM labels,data\processed\microglia_pvm_state_labels.csv,False,metadata_or_schema,missing,environment invariance / causal adjustment,False,False,False,Dedicated table not found; may be derivable from H5AD obs in Stage 24.
CAUSAL-008,causal_inference_asset,adjustment covariates,data\processed\metadata\sea_ad_mtg_donor_pathology_targets.csv,True,metadata_or_schema,84 rows; 21982 bytes,environment invariance / causal adjustment,True,True,False,"Available columns: ['APOE Genotype', 'Age at Death', 'Braak', 'Sex', 'Thal']"
CAUSAL-009,causal_inference_asset,candidate treatment/exposure definitions,results/tables/discovery_final_candidate_shortlist_v3.csv,True,csv,149 rows; 206916 bytes,shortlisted gene exposure candidates,True,True,False,Shortlist can seed causal-hypothesis candidates.
CAUSAL-010,causal_inference_asset,causal evidence schema,results/tables/graph_jepa_v3_causal_evidence_schema_v1.csv,True,csv,17 rows; 2877 bytes,causal evidence reporting schema,True,True,True,Created in Stage 22B.
CAUSAL-011,causal_inference_asset,causal inference layer spec,results/reports/graph_jepa_v3_causal_inference_layer_spec_v1.md,True,md,5961 bytes,causal anti-overclaiming spec,True,True,True,Created in Stage 22B.
PERT-001,perturbation_asset,Perturb-seq files,data/processed/perturbseq,False,file_or_directory,missing,perturbation-supervised calibration,False,False,False,Future extension unless real perturbation dataset is present and overlap is audited.
PERT-002,perturbation_asset,CRISPRi/CRISPRa files,data/processed/crispr,False,file_or_directory,missing,perturbation-supervised calibration,False,False,False,Future extension unless real perturbation dataset is present and overlap is audited.
PERT-003,perturbation_asset,public perturbation dataset references,results/tables/perturbseq_streaming_validation.csv,True,file_or_directory,3 rows; 234 bytes,perturbation-supervised calibration,False,False,False,Future extension unless real perturbation dataset is present and overlap is audited.
PERT-004,perturbation_asset,fake perturbseq generator,scripts/generate_fake_perturbseq.py,True,file_or_directory,1513 bytes,perturbation-supervised calibration,False,False,False,Future extension unless real perturbation dataset is present and overlap is audited.
PERT-005,perturbation_asset,perturbation benchmark script,scripts/benchmark_perturbseq_streaming.py,True,file_or_directory,20845 bytes,perturbation-supervised calibration,False,False,False,Future extension unless real perturbation dataset is present and overlap is audited.
