graph_id,graph_type,source_path,found,n_edges,n_nodes,overlaps_selected_matrix,n_overlap_genes,usable,notes
GRAPH024,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_alignment_comparison.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH025,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_baseline_donor_embeddings.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH026,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_baseline_module_scores.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH027,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_baseline_predicted_pathology.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH028,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_baseline_sea_ad_trajectory_vectors.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH029,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_baseline_summary.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH030,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_baseline_trajectory_scores.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH031,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_donor_embeddings.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH032,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_module_scores.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH033,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_predicted_pathology.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH034,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_summary.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH035,graph_context_table,results\tables\latent_jacobian_ema_var_e30_top_edges.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH036,graph_context_table,results\tables\latent_jacobian_top_edges.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH037,graph_context_table,results\tables\no_graph_ablation_predictive_representation_comparison_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH038,graph_context_table,results\tables\no_graph_ablation_preflight_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH039,graph_context_table,results\tables\no_graph_ablation_training_run_manifest_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH040,graph_context_table,results\tables\shuffled_graph_ablation_preflight_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH041,graph_context_table,results\tables\stage27_non_graph_v3_bootstrap_ci_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH042,graph_context_table,results\tables\stage27_non_graph_v3_mean_metrics_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH043,graph_context_table,results\tables\stage27_non_graph_v3_oof_predictions_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH044,graph_context_table,results\tables\stage27_non_graph_v3_pass_fail_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH045,graph_context_table,results\tables\stage27_non_graph_v3_target_deltas_vs_module_mean_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH046,graph_context_table,results\tables\stage27_non_graph_v3_target_metrics_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH047,graph_context_table,results\tables\stage30_graph_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH048,graph_context_table,results\tables\stage30_graph_controls_bootstrap_ci_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH049,graph_context_table,results\tables\stage30_graph_controls_mean_metrics_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH050,graph_context_table,results\tables\stage30_graph_controls_oof_predictions_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH051,graph_context_table,results\tables\stage30_graph_controls_pairwise_deltas_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH052,graph_context_table,results\tables\stage30_graph_controls_pass_fail_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH053,graph_context_table,results\tables\stage30_graph_controls_target_deltas_vs_stage27c_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH054,graph_context_table,results\tables\stage30_graph_controls_target_metrics_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH055,graph_context_table,results\tables\stage30_graph_node_edge_summary_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH056,graph_context_table,results\tables\stage31_residual_graph_bootstrap_ci_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH057,graph_context_table,results\tables\stage31_residual_graph_feature_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH058,graph_context_table,results\tables\stage31_residual_graph_graph_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH059,graph_context_table,results\tables\stage31_residual_graph_mean_metrics_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH060,graph_context_table,results\tables\stage31_residual_graph_oof_predictions_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH061,graph_context_table,results\tables\stage31_residual_graph_pairwise_deltas_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH062,graph_context_table,results\tables\stage31_residual_graph_pass_fail_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH063,graph_context_table,results\tables\stage31_residual_graph_target_deltas_vs_module_mean_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH064,graph_context_table,results\tables\stage31_residual_graph_target_deltas_vs_stage27c_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH065,graph_context_table,results\tables\stage31_residual_graph_target_metrics_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH066,graph_context_table,results\tables\stage32c_metadata_field_mapping_candidates_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged
GRAPH067,graph_context_table,results\tables\stage33b_graph_control_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH068,graph_context_table,results\tables\stage33c_graph_control_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH069,graph_context_table,results\tables\stage34a_graph_control_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH070,graph_context_table,results\tables\stage34b_graph_control_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH071,graph_context_table,results\tables\stage35a_graph_control_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH072,graph_context_table,results\tables\stage35b_feature_graph_alignment_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH073,graph_context_table,results\tables\stage35b_graph_control_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH074,graph_context_table,results\tables\stage35c_graph_control_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH075,graph_context_table,results\tables\stage35c_module_graph_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH076,graph_context_table,results\tables\stage35d_graph_alignment_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH077,graph_context_table,results\tables\stage35d_graph_control_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH078,graph_context_table,results\tables\stage35e_graph_claims_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH079,graph_context_table,results\tables\stage35e_graph_diagnostics_summary_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH080,graph_context_table,results\tables\stage36a_knowledge_grounding_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH081,graph_context_table,results\tables\stage36b_gene_knowledge_annotations_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH082,graph_context_table,results\tables\stage36b_knowledge_grounding_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH083,graph_context_table,results\tables\stage36b_knowledge_schema_registry_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH084,graph_context_table,results\tables\stage37c_f_candidate_gene_mapping_matrix_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged
GRAPH085,graph_context_table,results\tables\stage47_candidate_network_consensus_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH086,graph_context_table,results\tables\stage47_druggable_candidate_mapping_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged
GRAPH087,graph_context_table,results\tables\stage47_network_drug_mechanism_table_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH088,graph_context_table,results\tables\stage49_network_known_evidence_concordance_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH089,graph_context_table,results\tables\stage50_graph_claim_decision_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH090,graph_context_table,results\tables\stage50_graph_control_registry_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH091,graph_context_table,results\tables\stage50_graph_diffusion_view_summary_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH092,graph_context_table,results\tables\stage50_graph_source_inventory_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH093,graph_context_table,results\tables\stage50_graph_specific_comparison_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH094,graph_context_table,results\tables\strict_shuffled_graph_ablation_predictive_representation_comparison_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH095,graph_context_table,results\tables\strict_shuffled_graph_ablation_preflight_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH096,graph_context_table,results\tables\strict_shuffled_graph_ablation_training_run_manifest_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH097,graph_context_table,results\tables\test_graph_connected_feature_wide_threadfix.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH098,graph_context_table,results\tables\test_graph_connected_feature_wide_threadfix_skip_nn.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH099,graph_context_table,results\tables\v2_1_fine_bridge_06_latent_jacobian_top_edges.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH100,graph_context_table,results\tables\v2_1_upgrade_fine_08_latent_jacobian_top_edges.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH101,curated_edge_candidate,results\tables\v2_graph_consensus_both_edges.csv,True,536,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH102,curated_edge_candidate,results\tables\v2_graph_consensus_edges.csv,True,114029,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH103,graph_context_table,results\tables\v2_graph_consensus_edge_index.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH104,graph_context_table,results\tables\v2_graph_consensus_stats.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH105,curated_edge_candidate,results\tables\v2_graph_string_edges_t400.csv,True,55027,,not_evaluated,,True,candidate graph file; raw graph is not staged
GRAPH106,curated_edge_candidate,results\tables\v2_graph_string_edges_t700.csv,True,14565,,not_evaluated,,True,candidate graph file; raw graph is not staged
GRAPH107,curated_edge_candidate,results\tables\v2_graph_string_edges_t900.csv,True,6781,,not_evaluated,,True,candidate graph file; raw graph is not staged
GRAPH108,graph_context_table,results\tables\v2_graph_string_edge_index_t400.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged
GRAPH109,graph_context_table,results\tables\v2_graph_string_edge_index_t700.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged
GRAPH110,graph_context_table,results\tables\v2_graph_string_edge_index_t900.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged
GRAPH111,graph_context_table,results\tables\v2_graph_string_genes.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged
GRAPH112,graph_context_table,results\tables\v2_graph_string_stats.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged
GRAPH113,curated_edge_candidate,results\tables\v2_graph_wgcna_edges.csv,True,100000,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH114,graph_context_table,results\tables\v2_graph_wgcna_edge_index.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH115,graph_context_table,results\tables\v2_graph_wgcna_genes.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH116,graph_context_table,results\tables\v2_graph_wgcna_stats.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH117,graph_context_table,results\tables\ablation_edge_sets\graph_ablation_edge_set_manifest_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH118,curated_edge_candidate,results\tables\ablation_edge_sets\no_graph_identity_edges_v1.csv,True,2957,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH119,curated_edge_candidate,results\tables\ablation_edge_sets\shuffled_graph_edges_v1.csv,True,114029,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH120,curated_edge_candidate,results\tables\ablation_edge_sets\strict_shuffled_graph_edges_v1.csv,True,114029,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH121,graph_context_table,results\tables\ablation_edge_sets\strict_shuffled_graph_edge_diagnostics_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
MECHANISM_COMEMBERSHIP,mechanism_gene_co_membership,results/tables/stage36e_frozen_mechanism_registry_v1.csv,True,derived_small,18,not_evaluated,,False,allowed as context but insufficient alone for strong graph-topology claim/control audit
