mechanism_id,mechanism_name,validation_category,assay_status,readout_goal,required_before_claim,allowed_claim_language,disallowed_claim_language
M2,Glial activation / disease-associated microglia-astrocyte state,pathology colocalization,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M2,Glial activation / disease-associated microglia-astrocyte state,immunostaining or protein-level confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M2,Glial activation / disease-associated microglia-astrocyte state,"perturbation experiment, only as future causal follow-up",proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M2,Glial activation / disease-associated microglia-astrocyte state,manual biological review,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M3,Oxidative stress / antioxidant response,independent cohort replication,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M3,Oxidative stress / antioxidant response,spatial transcriptomic confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M3,Oxidative stress / antioxidant response,single-cell or single-nucleus expression confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M3,Oxidative stress / antioxidant response,pathology colocalization,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M3,Oxidative stress / antioxidant response,immunostaining or protein-level confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M3,Oxidative stress / antioxidant response,"perturbation experiment, only as future causal follow-up",proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M3,Oxidative stress / antioxidant response,manual biological review,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M4,Inflammatory signaling / transport / cell-state modulation,independent cohort replication,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M4,Inflammatory signaling / transport / cell-state modulation,spatial transcriptomic confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M4,Inflammatory signaling / transport / cell-state modulation,single-cell or single-nucleus expression confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M4,Inflammatory signaling / transport / cell-state modulation,pathology colocalization,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M4,Inflammatory signaling / transport / cell-state modulation,immunostaining or protein-level confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M4,Inflammatory signaling / transport / cell-state modulation,"perturbation experiment, only as future causal follow-up",proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M4,Inflammatory signaling / transport / cell-state modulation,manual biological review,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
