failure_id,historical_lineage,category,description,evidence_status,evidence_source_path,evidence_section_or_field,observed_metric_or_result,scientific_consequence,v4_prevention,blocking_for_v4,requires_human_decision
E03_external_gene_space_contract,v3,external_pretraining,"High overlap was reported, but exact ordered gene-space equivalence and missing-gene effects were not isolated.",unresolved_from_current_repository_evidence,,repository search: ordered external gene-space equivalence,"Stage34A/34B report overlap fraction=0.9682, not complete equivalence.",Small but important missing regulators can limit transfer and perturbation coverage.,Freeze an ordered union/intersection policy and report biologically important missing genes.,True,True
E04_external_normalization_equivalence,v3,external_pretraining,Normalization mismatch was considered through benchmark transforms but not proven equivalent across sources.,unresolved_from_current_repository_evidence,,repository search: cross-dataset normalization equivalence test,Raw-count-like sources used size-factor log1p transforms; latent-scale equivalence remains unestablished.,Scale artifacts can dominate cross-domain alignment.,Fit transforms on training data and run per-source distribution and reconstruction checks.,True,True
E05_external_pretraining_deficit,v3,external_pretraining,Approved external pretraining conditions failed to beat the locked internal no-graph reference.,confirmed_from_repository_evidence,docs/ACTIVE_V3_STATUS.md,"Stage 33B, 33C, 34A, and 34B status","Best Stage33B=0.2711, Stage33C=0.3049, Stage34A=0.2945, Stage34B=0.2782 versus Stage27C=0.3267.",More external data did not automatically produce a better SEA-AD representation.,Require parent-baseline comparisons and diagnose transfer dimensions independently.,False,False
E06_external_data_role_reuse,v3,external_pretraining,Data used in training or development cannot later serve as clean validation.,confirmed_from_repository_evidence,docs/DATASET_REGISTRY.md,Role rules,"The registry explicitly forbids clean-validation status after training, architecture, threshold, filtering, or model-selection use.",Role reuse would contaminate external validation claims.,Maintain immutable dataset-role records and sealed holdout hashes.,True,False
G01_gene_identity_loss,v2,graph_modeling,Scalar-only graph nodes risk forgetting which gene generated a message.,resolved_with_repository_evidence,src/sea_ad_jepa/graph_jepa.py,GraphGeneEncoder docstring and gene_embedding,The encoder concatenates expression/node annotations with a learnable gene identity embedding.,"Without identity, message passing can reduce distinct genes to neighborhood averages.",Retain explicit gene tokens/identity in v4A and every graph-aware extension.,True,False
G02_oversmoothing,v3,graph_modeling,Graph diffusion required a residual anti-oversmoothing experiment and still failed the full gate.,confirmed_from_repository_evidence,docs/ACTIVE_V3_STATUS.md,Stage 31 residual graph-control status,Best weak residual graph=0.3264; full Stage31 pass=False; topology-specific utility not established.,Message passing can erase expression-specific information without adding useful topology.,"Use soft adapters, residual paths, shallow propagation, and expression-only parent comparisons.",True,False
G03_graph_failed_expression_only_reference,v3,graph_modeling,The real graph did not beat the locked no-graph internal reference under mandatory controls.,confirmed_from_repository_evidence,docs/ACTIVE_V3_STATUS.md,Stage 30 graph-control status,Real graph mean pooled OOF Spearman=0.3205; graph-specific pass=False; identity/no-graph remained best.,A graph branch cannot be credited for representation value without beating expression-only.,Make v4A the required parent and reject v4B gains that do not beat it under matched training.,True,False
G04_real_graph_control_specificity,v3,graph_modeling,Real topology did not consistently separate from all matched controls across later analyses.,confirmed_from_repository_evidence,results/reports/stage79_control_interpretation_v1.json,diagnostics,The frozen interpretation reports 10 metric-invariant diagnostics and 38 zero-variance null comparisons.,Apparent perturbation effects may reflect input arithmetic rather than regulatory topology.,"Require no-prior, zero-weight, TF-label, edge-shuffle, and matched-target controls.",True,False
G05_small_internal_graph_gain,v3,graph_modeling,The first guarded positive module-scale graph result was extremely small and internal only.,confirmed_from_repository_evidence,docs/ACTIVE_V3_STATUS.md,Stage 35E graph diagnostics synthesis status,"Stage35C=0.327265 versus Stage27C no-graph=0.326702, delta=0.000563.",A technically positive gate does not imply meaningful biological utility.,Report effect size and uncertainty and keep technical and biological pass criteria separate.,False,False
G06_graph_lineage_separation,v1-v3,graph_modeling,A machine-readable mapping that prevents unrelated historical graph priors from being mixed into v4 is not yet frozen.,unresolved_from_current_repository_evidence,,repository search: graph lineage compatibility contract,"STRING, module, residual, perturbation, and Stage75 regulatory graphs have distinct roles.",Combining incompatible priors can make controls uninterpretable.,"Version every graph source, transform, vocabulary, and allowed role before v4B.",True,True
G07_generic_prior_context_gap,v3,graph_modeling,A generic interaction prior did not establish context-specific microglial regulatory utility.,documented_risk_from_repository_evidence,results/reports/stage35d_perturbation_graph_diagnostic_report_v1.md,feasibility audit conclusion,No benchmark ran because no approved local perturbation-derived graph was available.,Generic topology may not encode state-specific regulator-target behavior.,Treat regulatory priors as soft masks/adapters and demand context-specific controls.,True,True
N01_nondeterministic_artifacts,v3,engineering_and_provenance,Generated artifacts required explicit deterministic serialization and byte-hash handling.,resolved_with_repository_evidence,results/tables/project_git_provenance_index_v1.csv,latest commit subjects for Stage79 visualization artifacts,Tracked history includes deterministic gzip and visualization byte-hash corrections before the v4 launchpad.,Byte instability breaks provenance even when scientific content is unchanged.,"Use sorted serialization, fixed gzip metadata, and byte-level repeat-run tests.",False,False
N02_unmeasured_browser_runtime,v3,engineering_and_provenance,The frozen Stage79 explorer did not claim an instrumented browser test when the tool was unavailable.,confirmed_from_repository_evidence,results/visualization/stage79_graph_control_explorer_metadata_v3.json,browser_smoke_execution_status,browser_smoke_execution_status=not_run_tool_unavailable and runtime network request count is not asserted.,Static generation success does not prove runtime interaction quality.,Keep static and instrumented browser validation separate and record both honestly.,False,False
N03_machine_specific_paths,v3,engineering_and_provenance,Historical reports serialized machine-specific Windows paths before portability cleanup.,confirmed_from_repository_evidence,results/reports/stage34a_hbca_microglia_filtered_external_pretraining_report_v1.md,dataset manifest source_matrix,The report contains a machine-specific Windows absolute source path.,Machine paths make artifacts nonportable and can expose irrelevant local details.,Serialize repository-relative logical paths and scan every compact output.,False,False
N04_generated_html_and_gzip_stability,v3,engineering_and_provenance,Large self-contained HTML and compressed payloads needed deterministic build and hash verification.,resolved_with_repository_evidence,results/visualization/stage79_graph_control_explorer_metadata_v3.json,html_hash and output hashes,The frozen explorer records an HTML SHA-256 plus hashes for all embedded source artifacts.,Unstable generated bytes obscure whether a scientific result changed.,"Pin bundled dependencies, stable ordering, fixed compression metadata, and source hashes.",False,False
N05_code_output_provenance_mismatch,v3,engineering_and_provenance,Implementation and artifact provenance required explicit commit and source-hash linkage.,resolved_with_repository_evidence,results/reports/stage79_control_interpretation_v1.json,"implementation_git_commit, stage79_freeze_commit, and source_hashes",The report records separate implementation/freeze commits and validates all source hashes.,Outputs can otherwise outlive or mismatch the code that produced them.,Retain separate implementation and freeze commits with source commit and hashes.,False,False
N06_large_local_output_staging,v3-v4,engineering_and_provenance,"The repository explicitly protects raw data, checkpoints, run folders, logs, and unreviewed generated artifacts from commits.",documented_risk_from_repository_evidence,docs/v4/v4_start_checklist.md,Do Not Commit,"The v4 checklist lists raw data, large resources, checkpoints, runs, logs, scratch bundles, and unreviewed artifacts as local-only.",Accidental staging can bloat history or publish restricted data.,"Use ignored v4 namespaces, explicit staging paths, and staged-file review before every commit.",True,False
P01_arbitrary_model_input_magnitudes,v3,perturbation_analysis,The frozen perturbation scenarios used model-input magnitudes 0.10 and 0.25 without biological dose semantics.,confirmed_from_repository_evidence,results/tables/stage77_perturbation_scenario_manifest_v1.csv,magnitude,"Twelve scenarios used up/down at 0.10 and 0.25 for STAT1, ELF1, and SPI1.","Model-space magnitudes cannot be interpreted as percent expression, dose, or fold change.",v4E must learn or anchor perturbation magnitude to measured perturbation data.,True,True
P02_no_biological_dose_calibration,v3,perturbation_analysis,No measured dose-response mapping calibrated the Stage77 perturbation inputs.,confirmed_from_repository_evidence,docs/stage77_tier_a_perturbation_mvp.md,claim boundaries,The stage produced bounded expression deltas only and did not claim biological calibration.,Scenario size has no direct biological effect-size interpretation.,"Require perturbation datasets with dose, time, and direction metadata before v4E claims.",True,True
P03_one_hop_propagation,v3,perturbation_analysis,The perturbation MVP propagated signed TF effects only through the frozen candidate TF-target edge set.,documented_risk_from_repository_evidence,docs/stage77_tier_a_perturbation_mvp.md,bounded simulation design,The model used 53 usable signed edges for three Tier A regulators.,"One-hop propagation omits feedback, indirect pathways, and temporal response.","Define explicit controller dynamics and compare one-hop, multi-step, and no-propagation controls.",True,True
P04_weak_directionality_evidence,v3,perturbation_analysis,Desired TF direction remained unresolved for simulated regulators.,confirmed_from_repository_evidence,results/tables/stage76_regulator_readiness_v1.csv,unresolved_desired_perturbation_direction,All ten regulator rows mark unresolved_desired_perturbation_direction=True.,Up or down simulations cannot be framed as rescue directions.,Keep both directions until independent state and perturbation evidence resolves sign.,True,True
P05_missing_tf_target_features,v3,perturbation_analysis,Feature-space omissions blocked two regulators and removed target edges.,confirmed_from_repository_evidence,results/tables/stage76_regulator_readiness_v1.csv,readiness_status and usable_signed_edges,"CEBPA and RELA were blocked; Tier A usable edges were 23, 14, and 16.",The perturbation set was selected partly by model vocabulary.,Audit regulatory coverage before v4 feature selection and never impute absent targets silently.,True,True
P06_negligible_latent_displacement,v3,perturbation_analysis,All frozen perturbation scenarios produced very small latent displacements.,confirmed_from_repository_evidence,results/tables/stage78_jepa_latent_shift_summary_v1.csv,mean_euclidean_displacement,"Across 0.25 scenarios, mean displacement ranged from 0.000193 to 0.000877; cosine similarity remained approximately 1.",The v3 controller did not demonstrate meaningful state movement relative to natural geometry.,Predeclare natural-distance-normalized effect gates before interpreting v4E perturbations.,True,True
P07_graph_independent_effects,v3,perturbation_analysis,Many graph-control comparisons were invariant or had zero-variance nulls.,confirmed_from_repository_evidence,results/reports/stage79_control_interpretation_v1.json,diagnostics and validation,10 metric-invariant diagnostics and 38 zero-variance null comparisons were retained; no-graph p-values were null by design.,A visible effect may not depend on the claimed regulatory graph.,Require topology-specific control separation before any regulatory-controller claim.,True,False
P08_geometric_overinterpretation,v3,perturbation_analysis,Movement toward a latent centroid was explicitly not treated as rescue or benefit.,resolved_with_repository_evidence,results/reports/stage78_jepa_latent_shift_v1.json,claim_boundaries,"biological_rescue_claim, causal_validation_pass, and therapeutic_target_claim are false.",Geometric proximity alone cannot establish biological improvement.,"Keep geometric, biological, causal, and therapeutic conclusions as separate gates.",False,False
R01_variance_regularizer_collapse_bug,v2,representation_learning,"Variance regularization was once applied after L2 normalization, making variance_gamma=1.0 unreachable in 128 dimensions.",confirmed_from_repository_evidence,docs/current_status.md,Important loss fix,Moving the variance hinge to raw latents reduced the variance penalty from 0.9853 at epoch 1 to 0.4612 at epoch 5.,The incorrect loss allowed collapse-like behavior despite an apparent anti-collapse term.,Compute anti-collapse telemetry on raw latents and unit-test attainable targets.,True,False
R02_narrow_disease_tube_geometry,v1-v2,representation_learning,Disease fine-tuning could concentrate biological variation into a narrow latent tube.,confirmed_from_repository_evidence,docs/architecture.md,Stage C Losses and Telemetry,"The architecture explicitly introduced disease covariance, effective-dimension, and top-singular-ratio telemetry to detect narrow-tube collapse.",Linear readouts may succeed while local state geometry remains poor.,"Gate v4 checkpoints on broad geometry, not downstream ridge performance alone.",True,False
R03_low_effective_dimensionality,v2,representation_learning,Early disease-stage configurations had low effective dimensionality relative to the selected foundation checkpoint.,confirmed_from_repository_evidence,docs/current_status.md,Stage C diagnostics and v2.2 Stage A checkpoint selection,A Stage C configuration reported effective dimensions=4.76; selected Stage A epoch 30 reported 65.67.,Low-dimensional latents can compress distinct microglial programs into one dominant axis.,Track effective dimension on full datasets and set predeclared non-collapse gates.,True,True
R04_top_singular_value_dominance,v2,representation_learning,Some disease-stage embeddings were dominated by the leading singular direction.,confirmed_from_repository_evidence,docs/current_status.md,Stage C diagnostics and v2.2 Stage A checkpoint selection,A Stage C configuration reported top singular ratio=0.481 versus 0.056 for selected Stage A epoch 30.,A dominant axis can create visually compelling but biologically narrow geometry.,Monitor singular spectrum on full train and validation donors before checkpoint selection.,True,True
R05_ema_target_stability,v1-v3,representation_learning,"EMA target encoders are implemented, but a dedicated lineage-wide target-drift stability report was not found.",unresolved_from_current_repository_evidence,,repository search: EMA target drift/stability,EMA updates are implemented in src/sea_ad_jepa/graph_jepa.py; stability thresholds remain unspecified.,An unstable target encoder can make JEPA loss misleading or seed-sensitive.,"Log context-target parameter drift, target variance, and EMA schedule in v4.",True,True
R06_reference_manifold_drift,v2,representation_learning,Reference drift was controlled but remained an explicit failure mode during calibration.,resolved_with_repository_evidence,docs/architecture.md,Stage A/B/C Curriculum,Stage B drift audit: SEA-AD low-pathology cosine=0.9916 and CELLxGENE cosine=0.9754.,Uncontrolled adaptation could overwrite the reference manifold.,"Retain anchor-drift telemetry where anchors are scientifically justified, without using pathology labels for selection.",False,False
R07_checkpoint_telemetry_mismatch,v2,representation_learning,Short-run telemetry did not reliably predict full-dataset geometry.,confirmed_from_repository_evidence,docs/current_status.md,Regression head smoke evaluator,"20-step effective dimensions=75.51, while full-dataset evaluation was 40.62 with top singular ratio=0.268.",A checkpoint can appear safe during minibatch telemetry yet fail on the complete evaluation set.,Require full-dataset self-supervised geometry audits before checkpoint acceptance.,True,False
R08_seed_stability,v1-v3,representation_learning,The stability of central representation conclusions across training seeds is not established by one current report.,unresolved_from_current_repository_evidence,,repository search: repeated training seeds,Several historical ablations explicitly report a single seed; no lineage-wide seed interval was found.,Single-seed improvements may not reproduce.,Predeclare multiple training seeds and report distributions for every v4 gate.,True,True
S01_lineage_wide_split_audit,v1-v3,split_and_leakage,The current repository does not provide one audit proving every historical training and evaluation path used donor-level rather than random-cell splits.,unresolved_from_current_repository_evidence,,repository search: all lineage split implementations,"Later evaluations are donor-held-out, but lineage-wide split provenance is incomplete.",Cell-level leakage can inflate generalization through donor-specific signatures.,Generate immutable donor split manifests and reject cell-level final evaluation splits.,True,True
S02_lineage_wide_donor_overlap_audit,v1-v3,split_and_leakage,"Dataset-specific audits passed, but complete donor overlap across all v4 candidate datasets is not yet established.",unresolved_from_current_repository_evidence,,repository search plus dataset-specific leakage tables,Stage33B and Stage34A report leakage_audit_pass=True; cross-source v4 overlap is not audited.,The same donor in pretraining and test data would invalidate holdout claims.,Hash normalized donor identities across every source before assigning roles.,True,True
S03_spatial_section_split_provenance,v4C,split_and_leakage,No implemented spatial dataset or section-level split manifest exists yet.,unresolved_from_current_repository_evidence,,repository search: section-level split manifests,Spatial modeling is future work in docs/architecture.md.,Cells from one section in train and test would leak local tissue context.,Treat tissue section as the indivisible spatial split unit and freeze section manifests.,True,True
S04_clean_holdout_contamination,v3,split_and_leakage,Several public datasets were already used for plausibility or development and cannot be called untouched validation.,confirmed_from_repository_evidence,docs/DATASET_REGISTRY.md,Already-used plausibility-only pool and role rules,"GSE174367, GSE138852, SEA-AD CELLxGENE, Rexach, and Olah are explicitly not clean holdouts.",Reusing development data as validation would overstate external generalization.,Keep immutable dataset roles and seal clean holdouts until design freeze.,True,False
S05_metadata_composition_proxy_risk,v3,split_and_leakage,Metadata and fine cell-state composition produced large apparent gains that failed proxy-safe locking rules.,confirmed_from_repository_evidence,results/tables/stage39h_proxy_leakage_decision_v1.csv,proxy_leakage_decision,Full reconstruction mean OOF Spearman=0.4934 but proxy_leakage_risk_pass=False; latent-only=0.3458 and passed.,A model can predict disease-associated composition or metadata proxies instead of expression state.,Exclude pathology-linked metadata from foundation training and retain proxy-only controls.,True,False
S06_downstream_label_selection_damage,v2,split_and_leakage,Pathology-supervised encoder tuning could optimize labels while degrading the self-supervised manifold.,confirmed_from_repository_evidence,docs/current_status.md,v2.2 Stage B and Fast Stage C Diagnostics,Aggressive SupCon moved the encoder but collapsed global geometry; the frozen Stage B backbone retained decodable pathology signal.,Selecting foundation checkpoints on pathology can destroy the emergent geometry and leak downstream objectives upstream.,Use only self-supervised geometry and stability metrics for foundation checkpoint selection.,True,False
SP01_spatial_panel_coverage,v4C,spatial_modeling_risks,No frozen audit establishes whether a targeted spatial panel covers the required v4 genes.,unresolved_from_current_repository_evidence,,repository search: spatial panel feature coverage,Spatial-panel modeling has not been implemented.,Missing genes can make teacher-student alignment or regulatory interpretation underdetermined.,Audit panel coverage and define missing-token behavior before v4C.,True,True
SP02_spatial_cell_matching,v4C,spatial_modeling_risks,No validated cross-modality cell matching procedure is present.,unresolved_from_current_repository_evidence,,repository search: spatial cell matching validation,No implemented matching artifact was found.,Unsupported matching can transfer identities or states incorrectly.,Use probabilistic matching with held-out checks and retain unmatched cells explicitly.,True,True
SP03_coordinate_units,v4C,spatial_modeling_risks,Coordinate units and scale are not yet frozen for any spatial source.,unresolved_from_current_repository_evidence,,repository search: coordinate units,No spatial coordinate contract was found.,Distance thresholds are meaningless without physical units and slide transforms.,"Record units, transforms, orientation, and coordinate hashes per section.",True,True
SP04_cross_section_edge_prevention,v4C,spatial_modeling_risks,No implemented graph builder currently proves zero cross-section edges.,unresolved_from_current_repository_evidence,,repository search: section-local spatial edge audit,No spatial graph artifact was found.,Cross-section edges would create impossible tissue neighborhoods and leakage.,Assert section identity before neighbor search and fail on any cross-section edge.,True,False
SP05_spatial_split_design,v4C,spatial_modeling_risks,"Section-level train, validation, and test assignment is not yet defined in an executable manifest.",unresolved_from_current_repository_evidence,,repository search: spatial split manifest,No spatial split artifact was found.,Random-cell splitting would leak local morphology and neighborhood structure.,Split by donor first and tissue section within the spatial policy.,True,True
SP06_spatial_expression_scale,v4C,spatial_modeling_risks,Equivalence between spatial-panel and full-transcriptome expression scales is untested.,unresolved_from_current_repository_evidence,,repository search: panel/full-transcriptome scale audit,No teacher-student scale calibration report was found.,A modality shift could dominate the spatial latent branch.,Use modality-aware normalization and held-out teacher-student reconstruction diagnostics.,True,True
SP07_spatial_causal_wording,v4C,spatial_modeling_risks,No evidence yet supports interpreting modeled spatial propagation as causal signaling.,unresolved_from_current_repository_evidence,,repository search: spatial causal validation,Spatial modeling is planned but not implemented or validated.,Neighborhood association could be mislabeled as cell-cell communication.,Freeze association-only wording until intervention or orthogonal causal evidence exists.,True,False
